"Jordan Crawford",173094
"Joel Anthony",165952
"Johnny O'Bryant",161483
"Troy Williams",150000
"Chasson Randle",143860
"Omri Casspi",138414
"Archie Goodwin",119494
"Briante Weber",102898
"Shawn Long",89513
"Wayne Selden",83119
"David Nwaba",73528
"Quinn Cook",63938
"Jarrod Uthoff",63938
"Patricio Garino",31969
"Marcus Georges-Hunt",31969
"Alex Poythress",31969
"Elijah Millsap",23069
"Axel Toupane",20580
"Dahntay Jones",18255
"Edy Tavares",5145
"Gerald Henderson",9e+06
"Tyler Zeller",8e+06
"Sergio Rodriguez",8e+06
"George Hill",8e+06
"Garrett Temple",8e+06
"Anthony Tolliver",8e+06
"Lou Williams",7e+06
"Boris Diaw",7e+06
"Boban Marjanovic",7e+06
"Wayne Ellington",6e+06
"Ramon Sessions",6e+06
"Patrick Beverley",6e+06
"Joel Bolomboy",6e+05
"Jake Layman",6e+05
"Ish Smith",6e+06
"Roy Hibbert",5e+06
"Jonas Jerebko",5e+06
"Jason Smith",5e+06
"C.J. Watson",5e+06
"Udonis Haslem",4e+06
"Leandro Barbosa",4e+06
"Lavoy Allen",4e+06
"Lance Stephenson",4e+06
"Kris Humphries",4e+06
"James Johnson",4e+06
"Justin Hamilton",3e+06
"Dirk Nowitzki",2.5e+07
"Luol Deng",1.8e+07
"Joakim Noah",1.7e+07
"Evan Fournier",1.7e+07
"Bismack Biyombo",1.7e+07
"Timofey Mozgov",1.6e+07
"Jeff Green",1.5e+07
"Rajon Rondo",1.4e+07
"Manu Ginobili",1.4e+07
"Eric Bledsoe",1.4e+07
"Michael Kidd-Gilchrist",1.3e+07
"Marcin Gortat",1.2e+07
"Kyle Lowry",1.2e+07
"Kemba Walker",1.2e+07
"Amir Johnson",1.2e+07
"Joe Johnson",1.1e+07
"Austin Rivers",1.1e+07
"Terrence Ross",1e+07
"Montrezl Harrell",1e+06
"Danny Green",1e+07
"player","salary"
